anio,municipio,temporada,mes,nomcultivo,sembrada
2017,Jonuta,Norte,Enero,Chile verde,100
2017,Jonuta,Norte,Enero,Frijol,30
2017,Jonuta,Norte,Enero,Limón,5
2017,Jonuta,Norte,Enero,Maíz grano,2500
2017,Jonuta,Norte,Enero,Mango,10
2017,Jonuta,Norte,Enero,Sorgo grano,570
2017,Jonuta,Norte,Enero,Tomate rojo (jitomate),12
2017,Jonuta,Norte,Febrero,Chile verde,100
2017,Jonuta,Norte,Febrero,Frijol,30
2017,Jonuta,Norte,Febrero,Limón,5
2017,Jonuta,Norte,Febrero,Maíz grano,2500
2017,Jonuta,Norte,Febrero,Mango,10
2017,Jonuta,Norte,Febrero,Sorgo grano,350
2017,Jonuta,Norte,Febrero,Tomate rojo (jitomate),12
2017,Jonuta,Seca,Marzo,Chile verde,100
2017,Jonuta,Seca,Marzo,Frijol,30
2017,Jonuta,Seca,Marzo,Limón,5
2017,Jonuta,Seca,Marzo,Maíz grano,2500
2017,Jonuta,Seca,Marzo,Mango,10
2017,Jonuta,Seca,Marzo,Sorgo grano,350
2017,Jonuta,Seca,Marzo,Tomate rojo (jitomate),12
2017,Jonuta,Seca,Abril,Chile verde,100
2017,Jonuta,Seca,Abril,Frijol,50
2017,Jonuta,Seca,Abril,Limón,5
2017,Jonuta,Seca,Abril,Maíz grano,2500
2017,Jonuta,Seca,Abril,Mango,10
2017,Jonuta,Seca,Abril,Sorgo grano,350
2017,Jonuta,Seca,Abril,Tomate rojo (jitomate),12
2017,Jonuta,Seca,Mayo,Chile verde,100
2017,Jonuta,Seca,Mayo,Frijol,50
2017,Jonuta,Seca,Mayo,Limón,5
2017,Jonuta,Seca,Mayo,Maíz grano,2500
2017,Jonuta,Seca,Mayo,Mango,10
2017,Jonuta,Seca,Mayo,Sorgo grano,350
2017,Jonuta,Seca,Mayo,Tomate rojo (jitomate),12
2017,Jonuta,Temporal,Junio,Chile verde,100
2017,Jonuta,Temporal,Junio,Frijol,50
2017,Jonuta,Temporal,Junio,Limón,5
2017,Jonuta,Temporal,Junio,Maíz grano,3600
2017,Jonuta,Temporal,Junio,Mango,10
2017,Jonuta,Temporal,Junio,Sorgo grano,585
2017,Jonuta,Temporal,Junio,Tomate rojo (jitomate),12
2017,Jonuta,Temporal,Julio,Chile verde,250
2017,Jonuta,Temporal,Julio,Frijol,50
2017,Jonuta,Temporal,Julio,Limón,5
2017,Jonuta,Temporal,Julio,Maíz grano,4606
2017,Jonuta,Temporal,Julio,Mango,10
2017,Jonuta,Temporal,Julio,Sorgo grano,650
2017,Jonuta,Temporal,Julio,Tomate rojo (jitomate),12
2017,Jonuta,Temporal,Agosto,Chile verde,250
2017,Jonuta,Temporal,Agosto,Frijol,50
2017,Jonuta,Temporal,Agosto,Limón,5
2017,Jonuta,Temporal,Agosto,Maíz grano,4606
2017,Jonuta,Temporal,Agosto,Mango,10
2017,Jonuta,Temporal,Agosto,Sorgo grano,650
2017,Jonuta,Temporal,Agosto,Tomate rojo (jitomate),12
2017,Jonuta,Temporal,Septiembre,Chile verde,250
2017,Jonuta,Temporal,Septiembre,Frijol,50
2017,Jonuta,Temporal,Septiembre,Limón,5
2017,Jonuta,Temporal,Septiembre,Maíz grano,4606
2017,Jonuta,Temporal,Septiembre,Mango,10
2017,Jonuta,Temporal,Septiembre,Sorgo grano,650
2017,Jonuta,Temporal,Septiembre,Tomate rojo (jitomate),12
2017,Jonuta,Norte,Octubre,Chile verde,250
2017,Jonuta,Norte,Octubre,Frijol,50
2017,Jonuta,Norte,Octubre,Limón,5
2017,Jonuta,Norte,Octubre,Maíz grano,4606
2017,Jonuta,Norte,Octubre,Mango,10
2017,Jonuta,Norte,Octubre,Sorgo grano,650
2017,Jonuta,Norte,Octubre,Tomate rojo (jitomate),12
2017,Jonuta,Norte,Noviembre,Chile verde,250
2017,Jonuta,Norte,Noviembre,Frijol,50
2017,Jonuta,Norte,Noviembre,Limón,5
2017,Jonuta,Norte,Noviembre,Maíz grano,4606
2017,Jonuta,Norte,Noviembre,Mango,10
2017,Jonuta,Norte,Noviembre,Sorgo grano,650
2017,Jonuta,Norte,Noviembre,Tomate rojo (jitomate),12
2017,Jonuta,Norte,Diciembre,Chile verde,250
2017,Jonuta,Norte,Diciembre,Frijol,50
2017,Jonuta,Norte,Diciembre,Limón,5
2017,Jonuta,Norte,Diciembre,Maíz grano,4606
2017,Jonuta,Norte,Diciembre,Mango,10
2017,Jonuta,Norte,Diciembre,Sorgo grano,650
2017,Jonuta,Norte,Diciembre,Tomate rojo (jitomate),12
2017,Balancán,Norte,Enero,Caña de azucar,0
2017,Balancán,Norte,Enero,Chile verde,60
2017,Balancán,Norte,Enero,Frijol,342
2017,Balancán,Norte,Enero,Maíz grano,5922
2017,Balancán,Norte,Enero,Naranja,10
2017,Balancán,Norte,Enero,Papaya,173
2017,Balancán,Norte,Enero,Sandía,280
2017,Balancán,Norte,Enero,Sorgo grano,2900
2017,Balancán,Norte,Enero,Tomate rojo (jitomate),9
2017,Balancán,Norte,Febrero,Caña de azucar,0
2017,Balancán,Norte,Febrero,Chile verde,64
2017,Balancán,Norte,Febrero,Frijol,432
2017,Balancán,Norte,Febrero,Maíz grano,6422
2017,Balancán,Norte,Febrero,Naranja,10
2017,Balancán,Norte,Febrero,Papaya,173
2017,Balancán,Norte,Febrero,Sandía,473
2017,Balancán,Norte,Febrero,Sorgo grano,3800
2017,Balancán,Norte,Febrero,Tomate rojo (jitomate),9
2017,Balancán,Seca,Marzo,Caña de azucar,0
2017,Balancán,Seca,Marzo,Chile verde,65
2017,Balancán,Seca,Marzo,Frijol,434
2017,Balancán,Seca,Marzo,Maíz grano,7206
2017,Balancán,Seca,Marzo,Naranja,10
2017,Balancán,Seca,Marzo,Papaya,173
2017,Balancán,Seca,Marzo,Sandía,473
2017,Balancán,Seca,Marzo,Sorgo grano,3950
2017,Balancán,Seca,Marzo,Tomate rojo (jitomate),9
2017,Balancán,Seca,Abril,Caña de azucar,0
2017,Balancán,Seca,Abril,Chile verde,65
2017,Balancán,Seca,Abril,Frijol,434
2017,Balancán,Seca,Abril,Maíz grano,7206
2017,Balancán,Seca,Abril,Naranja,10
2017,Balancán,Seca,Abril,Papaya,173
2017,Balancán,Seca,Abril,Sandía,473
2017,Balancán,Seca,Abril,Sorgo grano,3950
2017,Balancán,Seca,Abril,Tomate rojo (jitomate),9
2017,Balancán,Seca,Mayo,Caña de azucar,0
2017,Balancán,Seca,Mayo,Chile verde,65
2017,Balancán,Seca,Mayo,Frijol,434
2017,Balancán,Seca,Mayo,Maíz grano,8706
2017,Balancán,Seca,Mayo,Naranja,10
2017,Balancán,Seca,Mayo,Papaya,173
2017,Balancán,Seca,Mayo,Sandía,473
2017,Balancán,Seca,Mayo,Sorgo grano,3950
2017,Balancán,Seca,Mayo,Tomate rojo (jitomate),9
2017,Balancán,Temporal,Junio,Caña de azucar,0
2017,Balancán,Temporal,Junio,Chile verde,80
2017,Balancán,Temporal,Junio,Frijol,434
2017,Balancán,Temporal,Junio,Maíz grano,11128
2017,Balancán,Temporal,Junio,Naranja,10
2017,Balancán,Temporal,Junio,Papaya,173
2017,Balancán,Temporal,Junio,Sandía,554
2017,Balancán,Temporal,Junio,Sorgo grano,4824
2017,Balancán,Temporal,Junio,Tomate rojo (jitomate),12
2017,Balancán,Temporal,Julio,Caña de azucar,0
2017,Balancán,Temporal,Julio,Chile verde,81
2017,Balancán,Temporal,Julio,Frijol,434
2017,Balancán,Temporal,Julio,Maíz grano,15668
2017,Balancán,Temporal,Julio,Naranja,10
2017,Balancán,Temporal,Julio,Papaya,173
2017,Balancán,Temporal,Julio,Sandía,673
2017,Balancán,Temporal,Julio,Sorgo grano,5950
2017,Balancán,Temporal,Julio,Tomate rojo (jitomate),12
2017,Balancán,Temporal,Agosto,Caña de azucar,0
2017,Balancán,Temporal,Agosto,Chile verde,84
2017,Balancán,Temporal,Agosto,Frijol,434
2017,Balancán,Temporal,Agosto,Maíz grano,17473
2017,Balancán,Temporal,Agosto,Naranja,10
2017,Balancán,Temporal,Agosto,Papaya,173
2017,Balancán,Temporal,Agosto,Sandía,673
2017,Balancán,Temporal,Agosto,Sorgo grano,6488
2017,Balancán,Temporal,Agosto,Tomate rojo (jitomate),16
2017,Balancán,Temporal,Septiembre,Caña de azucar,0
2017,Balancán,Temporal,Septiembre,Chile verde,84
2017,Balancán,Temporal,Septiembre,Frijol,434
2017,Balancán,Temporal,Septiembre,Maíz grano,17473
2017,Balancán,Temporal,Septiembre,Naranja,10
2017,Balancán,Temporal,Septiembre,Papaya,173
2017,Balancán,Temporal,Septiembre,Sandía,673
2017,Balancán,Temporal,Septiembre,Sorgo grano,6488
2017,Balancán,Temporal,Septiembre,Tomate rojo (jitomate),16
2017,Balancán,Norte,Octubre,Caña de azucar,0
2017,Balancán,Norte,Octubre,Chile verde,84
2017,Balancán,Norte,Octubre,Frijol,434
2017,Balancán,Norte,Octubre,Maíz grano,17473
2017,Balancán,Norte,Octubre,Naranja,10
2017,Balancán,Norte,Octubre,Papaya,173
2017,Balancán,Norte,Octubre,Sandía,673
2017,Balancán,Norte,Octubre,Sorgo grano,6488
2017,Balancán,Norte,Octubre,Tomate rojo (jitomate),16
2017,Balancán,Norte,Noviembre,Caña de azucar,0
2017,Balancán,Norte,Noviembre,Chile verde,84
2017,Balancán,Norte,Noviembre,Frijol,434
2017,Balancán,Norte,Noviembre,Maíz grano,17473
2017,Balancán,Norte,Noviembre,Naranja,10
2017,Balancán,Norte,Noviembre,Papaya,173
2017,Balancán,Norte,Noviembre,Sandía,673
2017,Balancán,Norte,Noviembre,Sorgo grano,6488
2017,Balancán,Norte,Noviembre,Tomate rojo (jitomate),16
2017,Balancán,Norte,Diciembre,Caña de azucar,0
2017,Balancán,Norte,Diciembre,Chile verde,84
2017,Balancán,Norte,Diciembre,Frijol,434
2017,Balancán,Norte,Diciembre,Maíz grano,17473
2017,Balancán,Norte,Diciembre,Naranja,10
2017,Balancán,Norte,Diciembre,Papaya,173
2017,Balancán,Norte,Diciembre,Sandía,673
2017,Balancán,Norte,Diciembre,Sorgo grano,6488
